,Gene,variable,value
0,AAAS,1_ctrl,14
1,AAAS,1_ctrl,37
2,ABCA8,1_ctrl,12
3,ABCA8,1_ctrl,42
4,ABCB4,1_ctrl,11
5,ABCD3,1_ctrl,15
6,ABCD3,1_ctrl,7
7,ABCF1,1_ctrl,12
8,ABCF1,1_ctrl,7
9,ABCF1,1_ctrl,3
10,ABCF2,1_ctrl,8
11,ABHD10,1_ctrl,14
12,ABHD11,1_ctrl,20
13,ABHD11,1_ctrl,18
14,ABHD11,1_ctrl,5
15,ABHD6,1_ctrl,6
16,ABHD8,1_ctrl,33
17,ACAD9,1_ctrl,8
18,ACAD9,1_ctrl,11
19,ACAD9,1_ctrl,16
20,ACAP1,1_ctrl,12
21,ACAP1,1_ctrl,13
22,ACAP1,1_ctrl,20
23,ACBD3,1_ctrl,19
24,ACBD3,1_ctrl,20
25,ACBD3,1_ctrl,33
26,ACBD6,1_ctrl,5
27,ACBD6,1_ctrl,15
28,ACER3,1_ctrl,40
29,ACER3,1_ctrl,11
30,ACN9,1_ctrl,14
31,ACN9,1_ctrl,14
32,ACOT11,1_ctrl,6
33,ACOT11,1_ctrl,13
34,ACOT12,1_ctrl,32
35,ACOT12,1_ctrl,12
36,ACOT1,1_ctrl,18
37,ACOT1,1_ctrl,26
38,ACOT9,1_ctrl,8
39,ACOX2,1_ctrl,25
40,ACOX2,1_ctrl,6
41,ACOX2,1_ctrl,48
42,ACOX3,1_ctrl,9
43,ACOXL,1_ctrl,8
44,ACOXL,1_ctrl,7
45,ACSF2,1_ctrl,8
46,ACSF2,1_ctrl,10
47,ACSM3,1_ctrl,11
48,ACSM5,1_ctrl,9
49,ACSM5,1_ctrl,13
50,ACSS3,1_ctrl,12
51,ACTBL2,1_ctrl,9
52,ACTC1,1_ctrl,19
53,ACTC1,1_ctrl,15
54,ACTC1,1_ctrl,5
55,ACTC1,1_ctrl,21
56,ACTC1,1_ctrl,28
57,ACTG2,1_ctrl,10
58,ACTG2,1_ctrl,18
59,ACTG2,1_ctrl,26
60,ACTG2,1_ctrl,12
61,ACTG2,1_ctrl,6
62,ACTL7A,1_ctrl,10
63,ACTL7A,1_ctrl,5
64,ACTN1,1_ctrl,6
65,ACTN1,1_ctrl,8
66,ACTN2,1_ctrl,44
67,ACTN2,1_ctrl,12
68,ACTN3,1_ctrl,45
69,ACTN4,1_ctrl,26
70,ACTR10,1_ctrl,3
71,ACTR10,1_ctrl,9
72,ACTR10,1_ctrl,35
73,ACTR1B,1_ctrl,15
74,ACTR1B,1_ctrl,13
75,ACTRT1,1_ctrl,11
76,ACTRT1,1_ctrl,17
77,ACTRT2,1_ctrl,7
78,ACTRT2,1_ctrl,22
79,ACTRT3,1_ctrl,11
80,ADAP2,1_ctrl,8
81,ADARB2,1_ctrl,15
82,ADD2,1_ctrl,19
83,ADD2,1_ctrl,10
84,ADD3,1_ctrl,7
85,ADIPOQ,1_ctrl,20
86,ADIPOR1,1_ctrl,8
87,ADIPOR2,1_ctrl,44
88,ADIPOR2,1_ctrl,10
89,ADIPOR2,1_ctrl,5
90,ADO,1_ctrl,34
91,ADSL,1_ctrl,13
92,ADSL,1_ctrl,5
93,ADSL,1_ctrl,7
94,ADTRP,1_ctrl,8
95,ADTRP,1_ctrl,10
96,AGK,1_ctrl,8
97,AGK,1_ctrl,15
98,AGMAT,1_ctrl,4
99,AGPAT5,1_ctrl,17
100,AGPAT5,1_ctrl,8
101,AGPAT9,1_ctrl,25
102,AGPS,1_ctrl,21
103,AGPS,1_ctrl,7
104,AGR2,1_ctrl,4
105,AGR2,1_ctrl,10
106,AGR2,1_ctrl,4
107,AGR2,1_ctrl,19
108,AGTRAP,1_ctrl,17
109,AHI1,1_ctrl,15
110,AIM2,1_ctrl,12
111,AKAP17A,1_ctrl,32
112,AKAP17A,1_ctrl,24
113,AKAP17A,1_ctrl,19
114,AKAP17A,1_ctrl,7
115,AKAP17A,1_ctrl,9
116,AKR7A2,1_ctrl,38
117,AKR7A2,1_ctrl,31
118,ALDH8A1,1_ctrl,21
119,ALDH8A1,1_ctrl,7
120,ALDH8A1,1_ctrl,39
121,ALG10B,1_ctrl,13
122,ALG11,1_ctrl,15
123,ALG11,1_ctrl,10
124,ALG13,1_ctrl,7
125,ALG13,1_ctrl,12
126,ALG1,1_ctrl,9
127,ALG1,1_ctrl,18
128,ALG3,1_ctrl,15
129,ALG5,1_ctrl,11
130,ALG5,1_ctrl,14
131,ALG5,1_ctrl,25
132,ALG9,1_ctrl,11
133,ALKBH1,1_ctrl,8
134,ALKBH4,1_ctrl,31
135,ALKBH4,1_ctrl,8
136,ALKBH4,1_ctrl,32
137,ALKBH7,1_ctrl,9
138,ALKBH7,1_ctrl,19
139,AMOTL2,1_ctrl,21
140,AMOTL2,1_ctrl,14
141,AMPH,1_ctrl,8
142,AMPH,1_ctrl,23
143,ANGPTL4,1_ctrl,9
144,ANGPTL6,1_ctrl,19
145,ANGPTL6,1_ctrl,9
146,ANK2,1_ctrl,10
147,ANK2,1_ctrl,18
148,ANKFY1,1_ctrl,4
149,ANKFY1,1_ctrl,13
150,ANKRD13C,1_ctrl,23
151,ANKRD13C,1_ctrl,7
152,ANKRD26,1_ctrl,4
153,ANKRD26,1_ctrl,21
154,ANO10,1_ctrl,13
155,ANP32A,1_ctrl,16
156,ANP32A,1_ctrl,9
157,ANP32E,1_ctrl,11
158,ANP32E,1_ctrl,17
159,ANP32E,1_ctrl,26
160,ANXA10,1_ctrl,4
161,AOX1,1_ctrl,6
162,AOX1,1_ctrl,4
163,AOX1,1_ctrl,4
164,AOX1,1_ctrl,7
165,AOX1,1_ctrl,5
166,AP1AR,1_ctrl,11
167,AP1B1,1_ctrl,10
168,AP1G1,1_ctrl,8
169,AP1G1,1_ctrl,14
170,AP1G1,1_ctrl,14
171,AP1G2,1_ctrl,16
172,AP1M1,1_ctrl,11
173,AP1M1,1_ctrl,7
174,AP1M1,1_ctrl,15
175,AP1M2,1_ctrl,4
176,AP1M2,1_ctrl,11
177,AP1M2,1_ctrl,10
178,AP1M2,1_ctrl,15
179,AP1M2,1_ctrl,12
180,AP1S1,1_ctrl,12
181,AP1S1,1_ctrl,16
182,AP1S2,1_ctrl,15
183,AP1S2,1_ctrl,17
184,AP1S2,1_ctrl,17
185,AP2A1,1_ctrl,18
186,AP2A2,1_ctrl,18
187,AP2A2,1_ctrl,18
188,AP2B1,1_ctrl,24
189,AP2B1,1_ctrl,7
190,AP2B1,1_ctrl,3
191,AP2M1,1_ctrl,6
192,AP2M1,1_ctrl,19
193,AP2M1,1_ctrl,11
194,AP2S1,1_ctrl,13
195,AP2S1,1_ctrl,14
196,AP2S1,1_ctrl,10
197,AP3B1,1_ctrl,8
198,AP3B1,1_ctrl,16
199,AP3B1,1_ctrl,4
200,AP3B2,1_ctrl,37
201,AP3B2,1_ctrl,25
202,AP3D1,1_ctrl,9
203,AP3M1,1_ctrl,5
204,AP3M2,1_ctrl,6
205,AP3M2,1_ctrl,4
206,AP3M2,1_ctrl,20
207,AP3M2,1_ctrl,21
208,AP3S1,1_ctrl,14
209,AP3S1,1_ctrl,5
210,AP3S2,1_ctrl,18
211,AP3S2,1_ctrl,23
212,AP4B1,1_ctrl,15
213,AP4E1,1_ctrl,9
214,AP4E1,1_ctrl,9
215,AP4S1,1_ctrl,17
216,AP4S1,1_ctrl,9
217,AP4S1,1_ctrl,10
218,AP5B1,1_ctrl,15
219,AP5M1,1_ctrl,5
220,AP5M1,1_ctrl,9
221,AP5S1,1_ctrl,11
222,APBA1,1_ctrl,3
223,APBA1,1_ctrl,9
224,APBA1,1_ctrl,18
225,APBA2,1_ctrl,10
226,APBA3,1_ctrl,6
227,APBA3,1_ctrl,10
228,APBA3,1_ctrl,4
229,APBB3,1_ctrl,15
230,APBB3,1_ctrl,3
231,APMAP,1_ctrl,8
232,APMAP,1_ctrl,15
233,APMAP,1_ctrl,11
234,APOBEC3G,1_ctrl,22
235,APOBEC3G,1_ctrl,20
236,APOBR,1_ctrl,6
237,APOBR,1_ctrl,26
238,APOL2,1_ctrl,13
239,APOL2,1_ctrl,7
240,APOL3,1_ctrl,10
241,APOL3,1_ctrl,12
242,APOL6,1_ctrl,7
243,APOL6,1_ctrl,43
244,APOL6,1_ctrl,12
245,APOLD1,1_ctrl,18
246,APOO,1_ctrl,19
247,APOO,1_ctrl,4
248,APOPT1,1_ctrl,4
249,ARAP3,1_ctrl,13
250,ARAP3,1_ctrl,25
251,ARF5,1_ctrl,11
252,ARF5,1_ctrl,5
253,ARF5,1_ctrl,26
254,ARF5,1_ctrl,36
255,ARFGAP1,1_ctrl,6
256,ARFGAP1,1_ctrl,49
257,ARFGAP2,1_ctrl,12
258,ARHGAP10,1_ctrl,22
259,ARHGAP10,1_ctrl,31
260,ARHGAP10,1_ctrl,25
261,ARHGAP17,1_ctrl,11
262,ARHGAP17,1_ctrl,13
263,ARHGAP1,1_ctrl,16
264,ARHGAP21,1_ctrl,16
265,ARHGAP24,1_ctrl,12
266,ARHGAP24,1_ctrl,13
267,ARHGAP24,1_ctrl,9
268,ARHGAP24,1_ctrl,60
269,ARHGAP32,1_ctrl,5
270,ARHGAP39,1_ctrl,23
271,ARHGAP44,1_ctrl,5
272,ARHGAP8,1_ctrl,5
273,ARHGAP8,1_ctrl,28
274,ARHGAP8,1_ctrl,4
275,ARHGAP8,1_ctrl,7
276,ARHGAP8,1_ctrl,10
277,ARHGEF11,1_ctrl,11
278,ARHGEF15,1_ctrl,9
279,ARHGEF15,1_ctrl,8
280,ARHGEF16,1_ctrl,21
281,ARHGEF16,1_ctrl,24
282,ARHGEF16,1_ctrl,18
283,ARHGEF17,1_ctrl,9
284,ARHGEF17,1_ctrl,7
285,ARHGEF19,1_ctrl,15
286,ARHGEF19,1_ctrl,19
287,ARHGEF1,1_ctrl,25
288,ARHGEF1,1_ctrl,17
289,ARHGEF1,1_ctrl,14
290,ARHGEF28,1_ctrl,7
291,ARHGEF28,1_ctrl,9
292,ARHGEF37,1_ctrl,8
293,ARHGEF37,1_ctrl,27
294,ARHGEF37,1_ctrl,27
295,ARHGEF37,1_ctrl,5
296,ARHGEF38,1_ctrl,11
297,ARHGEF3,1_ctrl,7
298,ARHGEF3,1_ctrl,7
299,ARHGEF3,1_ctrl,10
300,ARHGEF4,1_ctrl,6
301,ARHGEF5,1_ctrl,8
302,ARHGEF5,1_ctrl,9
303,ARHGEF9,1_ctrl,14
304,ARHGEF9,1_ctrl,10
305,ARID4A,1_ctrl,7
306,ARID4A,1_ctrl,22
307,ARID4B,1_ctrl,17
308,ARID4B,1_ctrl,17
309,ARID4B,1_ctrl,34
310,ARL11,1_ctrl,56
311,ARL11,1_ctrl,11
312,ARL11,1_ctrl,7
313,ARL14,1_ctrl,9
314,ARL14,1_ctrl,10
315,ARL14,1_ctrl,7
316,ARL15,1_ctrl,3
317,ARL5C,1_ctrl,8
318,ARL5C,1_ctrl,11
319,ARL6IP5,1_ctrl,16
320,ARL6,1_ctrl,8
321,ARMC10,1_ctrl,4
322,ARMC1,1_ctrl,15
323,ARMC4,1_ctrl,13
324,ARMC4,1_ctrl,5
325,ARMS2,1_ctrl,18
326,ARPC5L,1_ctrl,24
327,ARPC5L,1_ctrl,8
328,ARPC5L,1_ctrl,9
329,ARPC5L,1_ctrl,40
330,ARRB1,1_ctrl,10
331,ARRB1,1_ctrl,41
332,ARRB2,1_ctrl,6
333,ARV1,1_ctrl,9
334,ARVCF,1_ctrl,12
335,ARVCF,1_ctrl,11
336,ARVCF,1_ctrl,17
337,AS3MT,1_ctrl,19
338,ASAH2,1_ctrl,10
339,ASAH2,1_ctrl,13
340,ASAP2,1_ctrl,6
341,ASMTL,1_ctrl,8
342,ASMTL,1_ctrl,15
343,ASMTL,1_ctrl,27
344,ASPHD2,1_ctrl,15
345,ASXL2,1_ctrl,9
346,ATAD1,1_ctrl,24
347,ATAD3A,1_ctrl,6
348,ATAD3B,1_ctrl,18
349,ATCAY,1_ctrl,7
350,ATCAY,1_ctrl,11
351,ATCAY,1_ctrl,6
352,ATL2,1_ctrl,23
353,ATL2,1_ctrl,4
354,ATL2,1_ctrl,8
355,ATP10D,1_ctrl,21
356,ATP10D,1_ctrl,6
357,ATP10D,1_ctrl,10
358,ATP13A3,1_ctrl,15
359,ATP1A2,1_ctrl,16
360,ATP1A2,1_ctrl,8
361,ATP1A2,1_ctrl,17
362,ATP1A2,1_ctrl,5
363,ATP5E,1_ctrl,12
364,ATP5E,1_ctrl,11
365,ATP5L2,1_ctrl,7
366,ATP5SL,1_ctrl,10
367,ATP5SL,1_ctrl,14
368,ATP5SL,1_ctrl,24
369,ATP5S,1_ctrl,14
370,ATP5S,1_ctrl,9
371,ATP7B,1_ctrl,9
372,ATP7B,1_ctrl,14
373,ATP8B1,1_ctrl,19
374,ATP8B2,1_ctrl,10
375,ATP8B2,1_ctrl,15
376,ATP8B2,1_ctrl,3
377,ATP8B2,1_ctrl,9
378,ATP8B2,1_ctrl,12
379,ATP8B2,1_ctrl,8
380,ATPAF1,1_ctrl,27
381,ATXN2,1_ctrl,7
382,ATXN7,1_ctrl,7
383,ATXN7,1_ctrl,9
384,ATXN7,1_ctrl,19
385,AUH,1_ctrl,20
386,AZI2,1_ctrl,14
387,B3GALT1,1_ctrl,25
388,BAALC,1_ctrl,34
389,BAALC,1_ctrl,20
390,BAALC,1_ctrl,9
391,BAIAP3,1_ctrl,22
392,BAIAP3,1_ctrl,7
393,BANF1,1_ctrl,12
394,BANF1,1_ctrl,15
395,BANF1,1_ctrl,10
396,BARX2,1_ctrl,7
397,BBS1,1_ctrl,17
398,BCAN,1_ctrl,16
399,BCAN,1_ctrl,11
400,BCAP29,1_ctrl,25
401,BCAR3,1_ctrl,11
402,BCAR3,1_ctrl,4
403,BCAR3,1_ctrl,8
404,BCAR3,1_ctrl,12
405,BCAR3,1_ctrl,6
406,BCKDHA,1_ctrl,17
407,BCKDHA,1_ctrl,5
408,BCKDHA,1_ctrl,5
409,BCKDHB,1_ctrl,6
410,BCO2,1_ctrl,12
411,BFSP1,1_ctrl,20
412,BFSP1,1_ctrl,8
413,BFSP2,1_ctrl,34
414,BFSP2,1_ctrl,9
415,BIN2,1_ctrl,10
416,BIN2,1_ctrl,20
417,BLID,1_ctrl,15
418,BLOC1S1,1_ctrl,6
419,BLOC1S1,1_ctrl,9
420,BLOC1S5,1_ctrl,9
421,BLOC1S5,1_ctrl,22
422,BMS1,1_ctrl,9
423,BOLA1,1_ctrl,17
424,BOLA1,1_ctrl,16
425,BOLA1,1_ctrl,12
426,BOLA1,1_ctrl,27
427,BOLA3,1_ctrl,6
428,BOLA3,1_ctrl,58
429,BOLA3,1_ctrl,5
430,BOLA3,1_ctrl,8
431,BPIFA1,1_ctrl,36
432,BPIFA1,1_ctrl,7
433,BPIFB1,1_ctrl,33
434,BPIFB1,1_ctrl,26
435,BPIFB2,1_ctrl,25
436,BRI3BP,1_ctrl,7
437,BRI3BP,1_ctrl,13
438,BRK1,1_ctrl,7
439,BRK1,1_ctrl,12
440,BSN,1_ctrl,12
441,BSN,1_ctrl,5
442,BTAF1,1_ctrl,10
443,BTF3,1_ctrl,7
444,BTF3,1_ctrl,5
445,BVES,1_ctrl,14
446,BVES,1_ctrl,11
447,BZRAP1,1_ctrl,13
448,BZRAP1,1_ctrl,8
449,BZRAP1,1_ctrl,16
450,C10orf10,1_ctrl,9
451,C10orf10,1_ctrl,7
452,C10orf113,1_ctrl,17
453,C10orf113,1_ctrl,7
454,C10orf113,1_ctrl,7
455,C10orf2,1_ctrl,10
456,C10orf2,1_ctrl,32
457,C10orf35,1_ctrl,8
458,C10orf35,1_ctrl,9
459,C11orf73,1_ctrl,4
460,C12orf49,1_ctrl,12
461,C12orf49,1_ctrl,10
462,C12orf65,1_ctrl,3
463,C14orf119,1_ctrl,15
464,C14orf159,1_ctrl,16
465,C14orf159,1_ctrl,6
466,C14orf166,1_ctrl,3
467,C14orf2,1_ctrl,9
468,C15orf38-AP3S2,1_ctrl,11
469,C15orf48,1_ctrl,17
470,C15orf61,1_ctrl,4
471,C15orf61,1_ctrl,16
472,C15orf61,1_ctrl,10
473,C15orf62,1_ctrl,10
474,C15orf62,1_ctrl,5
475,C16orf58,1_ctrl,22
476,C16orf58,1_ctrl,25
477,C16orf58,1_ctrl,10
478,C16orf62,1_ctrl,27
479,C16orf62,1_ctrl,8
480,C16orf70,1_ctrl,6
481,C17orf85,1_ctrl,9
482,C17orf85,1_ctrl,17
483,C17orf89,1_ctrl,20
484,C17orf89,1_ctrl,25
485,C19orf10,1_ctrl,22
486,C19orf43,1_ctrl,22
487,C1GALT1,1_ctrl,12
488,C1GALT1,1_ctrl,15
489,C1QBP,1_ctrl,20
490,C1QBP,1_ctrl,17
491,C1orf21,1_ctrl,11
492,C1orf21,1_ctrl,6
493,C1orf21,1_ctrl,13
494,C1orf21,1_ctrl,12
495,C20orf197,1_ctrl,19
496,C20orf24,1_ctrl,11
497,C21orf33,1_ctrl,7
498,C21orf33,1_ctrl,14
499,C2orf43,1_ctrl,16
500,C2orf43,1_ctrl,12
501,C2orf43,1_ctrl,12
502,C2orf47,1_ctrl,8
503,C3orf52,1_ctrl,15
504,C3orf52,1_ctrl,17
505,C3orf52,1_ctrl,23
506,C4BPA,1_ctrl,15
507,C4BPA,1_ctrl,8
508,C4BPA,1_ctrl,5
509,C5orf63,1_ctrl,7
510,C5orf63,1_ctrl,7
511,C5orf63,1_ctrl,5
512,C6,1_ctrl,12
513,C6orf136,1_ctrl,4
514,C6orf203,1_ctrl,15
515,C6orf25,1_ctrl,14
516,C7orf10,1_ctrl,5
517,C7orf10,1_ctrl,15
518,C7orf10,1_ctrl,9
519,C8A,1_ctrl,60
520,C8B,1_ctrl,7
521,C8orf82,1_ctrl,3
522,C8orf82,1_ctrl,7
523,C9,1_ctrl,31
524,C9orf91,1_ctrl,14
525,C9orf91,1_ctrl,6
526,CABP1,1_ctrl,47
527,CABS1,1_ctrl,12
528,CABS1,1_ctrl,13
529,CABS1,1_ctrl,17
530,CACFD1,1_ctrl,35
531,CADPS2,1_ctrl,35
532,CADPS,1_ctrl,23
533,CALCOCO1,1_ctrl,35
534,CALCOCO1,1_ctrl,9
535,CALCOCO1,1_ctrl,34
536,CALCOCO1,1_ctrl,12
537,CALD1,1_ctrl,4
538,CALD1,1_ctrl,13
539,CALD1,1_ctrl,9
540,CALD1,1_ctrl,21
541,CALU,1_ctrl,4
542,CAP1,1_ctrl,9
543,CAP2,1_ctrl,27
544,CAPRIN2,1_ctrl,20
545,CAPRIN2,1_ctrl,6
546,CAPRIN2,1_ctrl,12
547,CAPZA1,1_ctrl,6
548,CAPZA1,1_ctrl,13
549,CAPZA2,1_ctrl,25
550,CAPZA2,1_ctrl,6
551,CAPZA2,1_ctrl,16
552,CAPZA2,1_ctrl,21
553,CAPZA2,1_ctrl,36
554,CAPZA3,1_ctrl,19
555,CARKD,1_ctrl,30
556,CASQ2,1_ctrl,37
557,CAV3,1_ctrl,16
558,CBR4,1_ctrl,14
559,CBR4,1_ctrl,9
560,CBR4,1_ctrl,4
561,CBX2,1_ctrl,17
562,CBX2,1_ctrl,8
563,CBX7,1_ctrl,22
564,CBX7,1_ctrl,19
565,CCDC136,1_ctrl,29
566,CCDC136,1_ctrl,14
567,CCDC151,1_ctrl,24
568,CCDC151,1_ctrl,7
569,CCDC19,1_ctrl,29
570,CCDC19,1_ctrl,6
571,CCDC19,1_ctrl,11
572,CCDC3,1_ctrl,36
573,CCDC51,1_ctrl,11
574,CCDC51,1_ctrl,8
575,CCDC53,1_ctrl,12
576,CCDC53,1_ctrl,14
577,CCDC88A,1_ctrl,15
578,CCDC88A,1_ctrl,16
579,CCDC92,1_ctrl,15
580,CCDC92,1_ctrl,11
581,CCDC93,1_ctrl,18
582,CCDC93,1_ctrl,13
583,CCDC93,1_ctrl,12
584,CCDC93,1_ctrl,8
585,CCL3L1,1_ctrl,11
586,CCL3L1,1_ctrl,9
587,CD14,1_ctrl,46
588,CD14,1_ctrl,8
589,CD14,1_ctrl,29
590,CD1B,1_ctrl,3
591,CD1B,1_ctrl,4
592,CD300E,1_ctrl,8
593,CD302,1_ctrl,5
594,CD302,1_ctrl,21
595,CD320,1_ctrl,10
596,CD320,1_ctrl,32
597,CD3EAP,1_ctrl,5
598,CD3EAP,1_ctrl,7
599,CD48,1_ctrl,12
600,CDC42EP1,1_ctrl,18
601,CDC42EP1,1_ctrl,10
602,CDC42EP1,1_ctrl,3
603,CDC42EP2,1_ctrl,9
604,CDC42EP3,1_ctrl,33
605,CDC42EP3,1_ctrl,5
606,CDC42EP3,1_ctrl,17
607,CDC42EP4,1_ctrl,12
608,CDC42EP4,1_ctrl,3
609,CDC42EP5,1_ctrl,15
610,CDC42EP5,1_ctrl,21
611,CDC42EP5,1_ctrl,5
612,CDC42SE1,1_ctrl,36
613,CDC42SE1,1_ctrl,15
614,CDH12,1_ctrl,7
615,CDH12,1_ctrl,4
616,CDH3,1_ctrl,26
617,CDK5RAP1,1_ctrl,13
618,CDKAL1,1_ctrl,5
619,CDKAL1,1_ctrl,4
620,CDKAL1,1_ctrl,4
621,CDS2,1_ctrl,27
622,CDV3,1_ctrl,20
623,CDV3,1_ctrl,42
624,CDYL,1_ctrl,14
625,CDYL,1_ctrl,7
626,CEP170B,1_ctrl,4
627,CEP170B,1_ctrl,14
628,CEP170B,1_ctrl,16
629,CEP170B,1_ctrl,6
630,CERCAM,1_ctrl,8
631,CERCAM,1_ctrl,8
632,CERS4,1_ctrl,23
633,CERS4,1_ctrl,14
634,CERS5,1_ctrl,11
635,CERS5,1_ctrl,26
636,CES2,1_ctrl,17
637,CES2,1_ctrl,16
638,CGNL1,1_ctrl,14
639,CGN,1_ctrl,11
640,CGN,1_ctrl,11
641,CH25H,1_ctrl,4
642,CH25H,1_ctrl,32
643,CH25H,1_ctrl,11
644,CHCHD10,1_ctrl,5
645,CHCHD10,1_ctrl,22
646,CHCHD10,1_ctrl,15
647,CHCHD1,1_ctrl,22
648,CHCHD1,1_ctrl,69
649,CHCHD2,1_ctrl,20
650,CHCHD3,1_ctrl,6
651,CHCHD3,1_ctrl,7
652,CHCHD4,1_ctrl,18
653,CHCHD4,1_ctrl,11
654,CHCHD5,1_ctrl,25
655,CHCHD5,1_ctrl,16
656,CHCHD5,1_ctrl,16
657,CHCHD5,1_ctrl,36
658,CHCHD6,1_ctrl,10
659,CHCHD6,1_ctrl,30
660,CHCHD7,1_ctrl,11
661,CHCHD7,1_ctrl,6
662,CHD6,1_ctrl,15
663,CHD6,1_ctrl,9
664,CHD7,1_ctrl,3
665,CHDH,1_ctrl,19
666,CHGB,1_ctrl,14
667,CHIC1,1_ctrl,4
668,CHIC1,1_ctrl,16
669,CHMP1A,1_ctrl,8
670,CHMP1A,1_ctrl,28
671,CHMP1A,1_ctrl,15
672,CHMP1B,1_ctrl,11
673,CHMP1B,1_ctrl,10
674,CHMP1B,1_ctrl,11
675,CHMP2B,1_ctrl,6
676,CHMP2B,1_ctrl,13
677,CHMP2B,1_ctrl,13
678,CHPF2,1_ctrl,10
679,CHPT1,1_ctrl,11
680,CHPT1,1_ctrl,17
681,CHRDL2,1_ctrl,5
682,CHRD,1_ctrl,12
683,CHRD,1_ctrl,9
684,CHTF18,1_ctrl,20
685,CISD1,1_ctrl,36
686,CISD2,1_ctrl,11
687,CISD2,1_ctrl,12
688,CISD3,1_ctrl,21
689,CLCN5,1_ctrl,23
690,CLCN5,1_ctrl,17
691,CLCN5,1_ctrl,12
692,CLDN8,1_ctrl,8
693,CLDN8,1_ctrl,12
694,CLEC2L,1_ctrl,4
695,CLIC1,1_ctrl,5
696,CLIP1,1_ctrl,21
697,CLSTN2,1_ctrl,7
698,CLTA,1_ctrl,6
699,CLTA,1_ctrl,7
700,CLTB,1_ctrl,6
701,CLTCL1,1_ctrl,11
702,CLTC,1_ctrl,13
703,CLTC,1_ctrl,19
704,CLTC,1_ctrl,6
705,CMC1,1_ctrl,10
706,CMC2,1_ctrl,18
707,CNIH4,1_ctrl,11
708,CNN1,1_ctrl,15
709,CNN1,1_ctrl,22
710,CNN1,1_ctrl,3
711,CNN1,1_ctrl,8
712,CNN1,1_ctrl,14
713,CNN2,1_ctrl,7
714,CNN2,1_ctrl,14
715,CNN2,1_ctrl,15
716,CNNM4,1_ctrl,29
717,CNNM4,1_ctrl,11
718,CNTLN,1_ctrl,14
719,CNTLN,1_ctrl,7
720,CNTLN,1_ctrl,38
721,COA4,1_ctrl,7
722,COA4,1_ctrl,5
723,COA4,1_ctrl,46
724,COA5,1_ctrl,18
725,COA5,1_ctrl,8
726,COA6,1_ctrl,5
727,COA6,1_ctrl,21
728,COG1,1_ctrl,25
729,COG1,1_ctrl,11
730,COG1,1_ctrl,20
731,COG8,1_ctrl,21
732,COG8,1_ctrl,8
733,COL14A1,1_ctrl,3
734,COLGALT1,1_ctrl,11
735,COLGALT1,1_ctrl,5
736,COMMD10,1_ctrl,11
737,COPA,1_ctrl,3
738,COPA,1_ctrl,23
739,COPB1,1_ctrl,10
740,COPB1,1_ctrl,11
741,COPE,1_ctrl,10
742,COPE,1_ctrl,10
743,COPE,1_ctrl,21
744,COPG1,1_ctrl,5
745,COPG1,1_ctrl,11
746,COPG2,1_ctrl,4
747,COPG2,1_ctrl,6
748,COPZ1,1_ctrl,11
749,COPZ1,1_ctrl,3
750,COPZ1,1_ctrl,5
751,COPZ1,1_ctrl,4
752,COPZ2,1_ctrl,15
753,COPZ2,1_ctrl,9
754,COPZ2,1_ctrl,22
755,COQ10A,1_ctrl,14
756,COQ10B,1_ctrl,17
757,COQ2,1_ctrl,35
758,COQ2,1_ctrl,4
759,COQ3,1_ctrl,12
760,COQ4,1_ctrl,9
761,COQ5,1_ctrl,11
762,COQ7,1_ctrl,10
763,COQ7,1_ctrl,4
764,CORO1B,1_ctrl,20
765,CORO1B,1_ctrl,11
766,CORO1B,1_ctrl,4
767,CORO1C,1_ctrl,13
768,CORO1C,1_ctrl,14
769,CORO1C,1_ctrl,23
770,CORO1C,1_ctrl,26
771,CORO7,1_ctrl,16
772,COTL1,1_ctrl,20
773,COX10,1_ctrl,7
774,COX10,1_ctrl,20
775,COX11,1_ctrl,4
776,COX14,1_ctrl,3
777,COX17,1_ctrl,11
778,COX17,1_ctrl,8
779,COX20,1_ctrl,7
780,COX20,1_ctrl,8
781,COX20,1_ctrl,9
782,COX4I2,1_ctrl,7
783,COX6B2,1_ctrl,10
784,COX6B2,1_ctrl,9
785,COX6B2,1_ctrl,9
786,COX7A2L,1_ctrl,8
787,COX8C,1_ctrl,8
788,CPED1,1_ctrl,14
789,CPED1,1_ctrl,20
790,CPED1,1_ctrl,24
791,CPLX3,1_ctrl,11
792,CPLX3,1_ctrl,18
793,CPLX3,1_ctrl,17
794,CPLX3,1_ctrl,24
795,CPNE1,1_ctrl,34
796,CPNE1,1_ctrl,4
797,CPNE1,1_ctrl,22
798,CPNE1,1_ctrl,9
799,CPNE2,1_ctrl,5
800,CPNE2,1_ctrl,8
801,CPNE3,1_ctrl,16
802,CPNE3,1_ctrl,4
803,CPNE4,1_ctrl,6
804,CPNE4,1_ctrl,10
805,CPNE4,1_ctrl,12
806,CPNE4,1_ctrl,26
807,CPOX,1_ctrl,24
808,CPSF1,1_ctrl,10
809,CPSF4,1_ctrl,21
810,CPSF4,1_ctrl,16
811,CREB3L1,1_ctrl,12
812,CREB3L1,1_ctrl,11
813,CREB3L1,1_ctrl,8
814,CREB3L3,1_ctrl,14
815,CREG2,1_ctrl,13
816,CRIPAK,1_ctrl,7
817,CRIPT,1_ctrl,19
818,CRIPT,1_ctrl,6
819,CRY1,1_ctrl,20
820,CRYM,1_ctrl,43
